known_disease_model_mouse,label,疾患名,Disease,
RBRC00134,C57BL/6-Lyst<bg-J>/StmRbrc,チェディアック-東症候群,Chediac-Higashi syndrome,
RBRC00222,SL/Kh,白血病,Leukemia,
RBRC00052,SHL,高脂血症,Hyperlipidemia,
RBRC00422,C.Cg-Cpox<nct>/JmsRbrc,ポルフィリン症,Porphyria,
RBRC00465,"B6.Cg-Tg(Ext2,LacZ)E22Tsh/ShsRbrc",多発性軟骨性外骨腫症,Multiple cartilaginous exostosis,
RBRC00609,C57BL/10Snf-Rim4/+,軸前側多指症,Preaxial polydactyly,
RBRC00761,SKC,円錐角膜,Keratoconus,
RBRC00763,MSM.C-Ednrb<WS4>/StmRbrc,ヒルシュスプルング病（全結腸型又は小腸型）,Hirschsprung,
RBRC00765,INAD,乳児神経軸索ジストロフィー,Infantile neuroaxonal dystrophy,
RBRC00807,B6.129S2-Ercc5<tm1Shm>/ShmRbrc,色素乾皮症,Xeroderma pigmentosum,
RBRC00846,B6.Cg-Tg(CD2-Mafk)1Staka/StakaRbrc,免疫不全症,Immunodeficiency syndrome,
RBRC00847,B6.Cg-Tg(CD2-Mafk)2Staka/StakaRbrc,免疫不全症,Immunodeficiency syndrome,
RBRC00849,B6;KOR1-Traf3ip2<adjm>,アトピー性皮膚炎,Atopic dermatitis,
RBRC00948,C.KOR1-Traf3ip2<adjm>,アトピー性皮膚炎,Atopic dermatitis,
RBRC00982,A.KOR1-Traf3ip2<adjm>,アトピー性皮膚炎,Atopic dermatitis,
RBRC00996,DDI-Mip<Cat-Tohm>/TohmRbrc,小眼白内障,Small eye cataract,
RBRC01049,C.Cg-Atf2<tm1Sis>/Rbrc,胎便吸引症候群,Meconium aspiration syndrome,
RBRC01072,A.SM-(D10Mit15-D10Mit269)/Rbrc,糖尿病,Diabetes,
RBRC01261,ICR.Cg-Atp7a<Mo-Tohm>/TohmRbrc,メンケス病,Menkes Disease,
RBRC01262,C3.Cg-Mitf<mi-bw>/Rbrc,ワールデンブルグ症候群,Waardenburg syndrome,
RBRC01395,C57BL/6-Tg(tetO-AML1/MTG8)1/Rbrc,白血病,Leukemia,
