jcm,organism,meo,label_meo
JCM_10020,Rhodosporidium toruloides,MEO_0000062,wood
JCM_10021,Rhodosporidium toruloides,MEO_0000007,soil
JCM_10024,Haloarcula aidinensis,MEO_0000177,saline lake
JCM_10025,Haloarcula aidinensis,MEO_0000177,saline lake
JCM_10026,Actinomadura chengduensis,MEO_0000007,soil
JCM_10027,Actinomadura ochracea,MEO_0000135,lake bottom mud
JCM_10028,Actinomadura rosea,MEO_0000007,soil
JCM_10029,Actinopolyspora thermovinacea,MEO_0000007,soil
JCM_10070,Acidovorax sp.,MEO_0000041,marine water
JCM_10072,Acidovorax sp.,MEO_0000041,marine water
JCM_10073,Kockovaella phaffii,MEO_0000379,leaf
JCM_10074,Kockovaella phaffii,MEO_0000379,leaf
JCM_10075,Kockovaella phaffii,MEO_0000379,leaf
JCM_10079,Aspergillus clavatus,MEO_0000718,seafood product
JCM_10120,Actinomadura luzonensis,MEO_0000007,soil
JCM_10122,Microbispora amethystogenes subsp. nonreducans,MEO_0000336,paddy field
JCM_10123,Nocardioides thermolilacinus,MEO_0000007,soil
JCM_10124,Nocardioides thermolilacinus,MEO_0000007,soil
JCM_10125,Microbispora bispora,MEO_0000054,feces
JCM_10125,Thermopolyspora bispora,MEO_0000054,feces
JCM_10126,Pseudomonas sp.,MEO_0000007,soil
JCM_10127,Pseudomonas sp.,MEO_0000007,soil
JCM_10128,Thermococcus fumicolans,MEO_0000724,deep sea
JCM_10129,Marinospirillum megaterium,MEO_0000428,food related
JCM_10174,Shewanella benthica,MEO_0000040,marine sediment
JCM_10175,Shewanella benthica,MEO_0000084,bay
JCM_10176,Shewanella benthica,MEO_0000040,marine sediment
JCM_10177,Shewanella benthica,MEO_0000040,marine sediment
JCM_10178,Shewanella benthica,MEO_0000040,marine sediment
JCM_10179,Shewanella violacea,MEO_0000040,marine sediment
JCM_10226,Kluyveromyces nonfermentans,MEO_0000084,bay
JCM_10227,Kluyveromyces nonfermentans,MEO_0000084,bay
JCM_10228,Kluyveromyces nonfermentans,MEO_0000084,bay
JCM_10229,Kluyveromyces nonfermentans,MEO_0000084,bay
JCM_1023,Lactobacillus acidophilus,MEO_0000054,feces
JCM_1023,Lactobacillus acidophilus,MEO_0000627,feces
JCM_1025,Lactobacillus gasseri,MEO_0000484,intestine
JCM_1027,Proteus ichthyosmius,MEO_0000423,small artifact
JCM_1028,Lactobacillus acidophilus,MEO_0000484,intestine
JCM_10282,Erythromicrobium ramosum,MEO_0000137,microbial mat
JCM_10283,Eubacterium limosum,MEO_0000678,river mud
JCM_1029,Lactobacillus acidophilus,MEO_0000484,intestine
JCM_10330,Sporobolomyces ogasawarensis,MEO_0000379,leaf
JCM_10331,Sporobolomyces ogasawarensis,MEO_0000379,leaf
JCM_10332,Sporobolomyces ogasawarensis,MEO_0000379,leaf
